ID,Glider,Model,Manufacturer,Competition Class,Kind,Double Seater,Winglets,Exclude Live,Vintage,Self-Launcher,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,SZD-56-2 Diana 2,SZD-56-2 Diana 2,Avionic,15,GL,,,,,,114,116,116,116,114,114,116,116,116
2,JS3 15m,JS3 15m,Jonker Sailplanes,15,GL,,,,,,116,116,116,116,114,114,116,116,116
3,JS3 15m,JS3 RES 15m,Jonker Sailplanes,15,MG,,,,,x,116,116,116,116,114,114,116,116,116
4,JS3 15m,JS3 TJ 15m,Jonker Sailplanes,15,MG,,,,,,116,116,116,116,114,114,116,116,116
5,Ventus 3 15m,Ventus 3 15m,Schempp-Hirth,15,GL,,,,,,116,116,116,116,114,114,116,116,116
6,Ventus 3 15m,Ventus 3F 15m,Schempp-Hirth,15,FG,,,,,,116,116,116,116,114,114,116,116,116
7,Ventus 3 15m,Ventus 3M 15m,Schempp-Hirth,15,MG,,,,,x,116,116,116,116,114,114,116,116,116
8,Ventus 3 15m,Ventus 3T 15m,Schempp-Hirth,15,MG,,,,,,116,116,116,116,114,114,116,116,116
9,ASG 29 15m,ASG 29 15m,Alexander Schleicher,15,GL,,,,,,114,114,116,114,114,114,114,114,114
10,ASG 29 15m,ASG 29 E 15m,Alexander Schleicher,15,MG,,,,,,114,114,116,114,114,114,114,114,114
11,ASG 29 15m,ASG 29 Es 15m,Alexander Schleicher,15,MG,,,,,,114,114,116,114,114,114,114,114,114
12,ASW 27,ASW 27,Alexander Schleicher,15,GL,,,,,,114,114,114,114,114,114,114,114,114
13,Mü 31,Mü 31,Akaflieg München,15,GL,,,,,,114,114,114,114,114,114,114,114,114
15,Ventus 2,Ventus 2a,Schempp-Hirth,15,GL,,,,,,114,114,114,114,114,114,115,115,115
16,Ventus 2,Ventus 2ax,Schempp-Hirth,15,GL,,,,,,114,114,114,114,114,114,115,115,115
17,Ventus 2,Ventus 2b,Schempp-Hirth,15,GL,,,,,,114,114,114,114,114,114,114,114,114
18,Ventus 2c 15m,Ventus 2c 15m,Schempp-Hirth,15,GL,,,,,,114,114,114,114,114,114,114,114,114
19,Ventus 2c 15m,Ventus 2cM 15m,Schempp-Hirth,15,MG,,,,,x,114,114,114,114,114,114,114,114,114
20,Ventus 2c 15m,Ventus 2cT 15m,Schempp-Hirth,15,MG,,,,,,114,114,114,114,114,114,114,114,114
21,DG 800 15m,DG 800A/B 15m,DG Flugzeugbau,15,MG,,,,,x,113,113,113,113,113,113,113,113,113
22,DG 800 15m,DG 800S 15m,DG Flugzeugbau,15,GL,,,,,,113,113,113,113,113,113,113,113,113
23,DG 800 15m,DG 808C 15m,DG Flugzeugbau,15,MG,,,,,x,113,113,113,113,113,113,113,113,113
24,LAK-17 15m,LAK-17A 15m,Sportinė Aviacija,15,GL,,,,,,113,113,113,113,113,113,113,113,113
25,LAK-17 15m,LAK-17A T 15m,Sportinė Aviacija,15,MG,,,,,,113,113,113,113,113,113,113,113,113
26,LAK-17 15m,LAK-17B 15m,Sportinė Aviacija,15,GL,,,,,,113,113,113,113,113,113,113,113,113
27,LAK-17 15m,LAK-17B FES 15m,Sportinė Aviacija,15,FG,,,,,,113,113,113,113,113,113,113,113,113
28,LAK-17 15m,LAK-17B T 15m,Sportinė Aviacija,15,MG,,,,,,113,113,113,113,113,113,113,113,113
29,LS 10 15m,LS 10 15m,Rolladen-Schneider,15,GL,,,,,,113,113,113,113,113,113,113,113,113
30,LS 10 15m,LS 10-st 15m,Rolladen-Schneider,15,MG,,,,,,113,113,113,113,113,113,113,113,113
31,SZD-56-1 Diana,SZD-56-1 Diana,PZL Bielsko,15,GL,,,,,,112,112,112,112,112,112,112,112,112
32,LS 6,LS 6,Rolladen-Schneider,15,GL,,,,,,111,111,111,111,111,111,111,111,111
33,LS 6,LS 6 neo,Rolladen-Schneider,15,GL,,x,,,,112,112,112,112,112,112,112,112,112
34,ASW 20,ASW 20,Alexander Schleicher,15,GL,,,,,,110,110,110,110,110,110,110,110,110
35,DG 600,DG 600,DG Flugzeugbau,15,GL,,,,,,110,110,110,110,110,110,110,110,110
36,DG 600,DG 600M,DG Flugzeugbau,15,MG,,,,,x,110,110,110,110,110,110,110,110,110
37,Glasflügel 304,Glasflügel 304,Glasflügel,15,GL,,,,,,110,110,110,110,110,110,110,110,110
38,HpH 304 CZ,HpH 304 CZ,HpH Sailplanes,15,GL,,,,,,110,110,110,110,110,110,110,110,110
40,Ventus 15m,Ventus a 15m,Schempp-Hirth,15,GL,,,,,,110,110,110,110,110,110,110,111,111
41,Ventus 15m,Ventus b 15m,Schempp-Hirth,15,GL,,,,,,110,110,110,110,110,110,110,110,110
42,Ventus 15m,Ventus bT 15m,Schempp-Hirth,15,MG,,,,,,110,110,110,110,110,110,110,110,110
43,Ventus 15m,Ventus cM 15m,Schempp-Hirth,15,MG,,,,,x,110,110,110,110,110,110,110,110,110
44,Ventus 15m,Ventus cT 15m,Schempp-Hirth,15,MG,,,,,,110,110,110,110,110,110,110,110,110
45,ASW 20 Top 15m,ASW 20 Top 15m,Alexander Schleicher,15,MG,,,,,x,108,108,108,108,108,108,108,108,108
46,SB 11,SB 11,Akaflieg Braunschweig,15,GL,,,,,,108,108,108,108,108,108,108,108,108
47,fs 32,fs 32,Akaflieg Stuttgart,15,GL,,,,,,108,108,108,108,108,108,108,108,108
48,DG 200,DG 200,DG Flugzeugbau,15,GL,,,,,,107,107,107,107,107,107,107,107,107
49,DG 400,DG 400,DG Flugzeugbau,15,MG,,,,,x,107,107,107,107,107,107,107,107,107
50,LS 3,LS 3,Rolladen-Schneider,15,GL,,,,,,107,107,107,107,107,107,107,107,107
51,LS 3,LS 3a,Rolladen-Schneider,15,GL,,,,,,107,107,107,107,107,107,107,107,107
52,Mini Nimbus,Mini Nimbus,Schempp-Hirth,15,GL,,,,,,107,107,107,107,107,107,107,107,107
53,Mosquito,Mosquito,Glasflügel,15,GL,,,,,,107,107,107,107,107,107,107,107,107
54,D 40,D 40,Akaflieg Darmstadt,15,GL,,,,,,106,106,106,106,106,106,106,106,106
55,G 104 Speed Astir 2,G 104 Speed Astir 2,Grob Aircraft,15,GL,,,,,,105,105,105,105,105,105,105,105,105
56,PIK-20 D/E,PIK-20 D,Eiri-Avion,15,GL,,,,,,104,104,104,104,104,104,104,104,104
57,PIK-20 D/E,PIK-20 E,Eiri-Avion,15,MG,,,,,x,104,104,104,104,104,104,104,104,104
